Filename,Name,Type,Has_X,Has_Y,Has_Alpha,Has_CL,Error
e548.dat,EPPLER 548 AIRFOIL,coordinates,Yes,Yes,No,No,
e549.dat,EPPLER 549 AIRFOIL,coordinates,Yes,Yes,No,No,
e550.dat,EPPLER 550 AIRFOIL,coordinates,Yes,Yes,No,No,
e551.dat,EPPLER 551 AIRFOIL,coordinates,Yes,Yes,No,No,
e552.dat,EPPLER 552 AIRFOIL,coordinates,Yes,Yes,No,No,
e553.dat,EPPLER 553 AIRFOIL,coordinates,Yes,Yes,No,No,
e554.dat,EPPLER 554 AIRFOIL,coordinates,Yes,Yes,No,No,
e555.dat,EPPLER 555 AIRFOIL,coordinates,Yes,Yes,No,No,
e556.dat,EPPLER 556 AIRFOIL,coordinates,Yes,Yes,No,No,
e557.dat,EPPLER 557 AIRFOIL,coordinates,Yes,Yes,No,No,
e558.dat,EPPLER 558 AIRFOIL,coordinates,Yes,Yes,No,No,
e559.dat,EPPLER 559 AIRFOIL,coordinates,Yes,Yes,No,No,
e560.dat,EPPLER 560 AIRFOIL,coordinates,Yes,Yes,No,No,
e561.dat,EPPLER 561 AIRFOIL,coordinates,Yes,Yes,No,No,
e562.dat,EPPLER 562 AIRFOIL,coordinates,Yes,Yes,No,No,
e58.dat,EPPLER 58 AIRFOIL,coordinates,Yes,Yes,No,No,
e580.dat,EPPLER 580 AIRFOIL,coordinates,Yes,Yes,No,No,
e582.dat,EPPLER 582 AIRFOIL,coordinates,Yes,Yes,No,No,
e583.dat,EPPLER 583 AIRFOIL,coordinates,Yes,Yes,No,No,
e584.dat,EPPLER 584 AIRFOIL,coordinates,Yes,Yes,No,No,
e585.dat,EPPLER 585 AIRFOIL,coordinates,Yes,Yes,No,No,
e587.dat,EPPLER 587 AIRFOIL,coordinates,Yes,Yes,No,No,
e59.dat,EPPLER 59 AIRFOIL,coordinates,Yes,Yes,No,No,
e591.dat,E591,coordinates,Yes,Yes,No,No,
e593.dat,EPPLER 593 AIRFOIL,coordinates,Yes,Yes,No,No,
e598.dat,EPPLER 598 AIRFOIL,coordinates,Yes,Yes,No,No,
e603.dat,EPPLER 603 AIRFOIL,coordinates,Yes,Yes,No,No,
e604.dat,EPPLER 604 AIRFOIL,coordinates,Yes,Yes,No,No,
e61.dat,E61  (5.64%),coordinates,Yes,Yes,No,No,
e62.dat,E62  (5.62%),coordinates,Yes,Yes,No,No,
e625.dat,EPPLER 625 AIRFOIL,coordinates,Yes,Yes,No,No,
e63.dat,E63  (4.25%),coordinates,Yes,Yes,No,No,
